品編,品名,處方組成,註冊編號
N-107,金水六君煎,當歸（6克）﹑茯苓（6克）﹑法半夏（6克）﹑熟地黃（12克）﹑陳皮（4.5克）﹑炙甘草（3克）﹑生薑（9克）,
N-108,枳縮二陳湯,"法半夏（9克）﹑茯苓（9克）﹑香附子（6克）﹑厚樸（6克）﹑延胡索（6克）﹑陳皮（6克）﹑砂仁（6克）﹑小茴
香（3克）﹑木香（3克）﹑枳實（6克）﹑草豆蔻（3克）﹑生薑（6克）",
N-109,射干麻黃湯,"射干（9克）﹑麻黃（12克）﹑生薑（12克）﹑細辛（9克）﹑紫宛（9克）﹑款冬花（9克）﹑五味子（15克）﹑大
棗（9克）﹑法半夏（15克）",
N-110,桂枝芍藥知母湯,"桂枝（12克）﹑知母（12克）﹑防風（12克）﹑白芍（9克）﹑炙甘草（6克）﹑麻黃（6克）﹑熟附子（6克）﹑生
薑（15克）﹑白朮（15克）",
N-111,柴胡加龍牡湯,"柴胡（15克）﹑黃芩（9克）﹑法半夏（9克）﹑生薑（9克）﹑炙甘草（6克）﹑黨參（6克）﹑大棗（6克）﹑龍骨
（18克）﹑牡蠣（18克）",
N-112,海藻玉壼湯,"海藻（6克）﹑浙貝母（6克）﹑陳皮（6克）﹑昆布（6克）﹑青皮（6克）﹑川芎（6克）﹑當歸（6克）﹑法半夏
（6克）﹑連翹（6克）﹑生甘草（6克）﹑獨活（6克）﹑海帶（6克）",
N-113,荊芥連翹湯,"荊芥（6克）﹑柴胡（6克）﹑川芎（6克）﹑當歸（6克）﹑生地黃（6克）﹑赤芍（6克）﹑白芷（6克）﹑防風（6
克）﹑薄荷葉（6克）﹑山梔子（6克）﹑黃芩（6克）﹑桔梗（6克）﹑連翹（6克）﹑生甘草（6克）",
N-114,茯菟丹,茯苓（9克）﹑菟絲子（15克）﹑五味子（12克）﹑石蓮肉（6克）﹑山藥（9克）,
N-115,梔子豉湯,山梔子（12克）﹑淡豆豉（9克）,
N-116,清金化痰丸,"麥門冬（9克）﹑浙貝母（9克）﹑化橘皮（9克）﹑茯苓（9克）﹑桔梗（6克）﹑黃芩（4.5克）﹑山梔子（4.5克）
﹑桑白皮（3克）﹑知母（3克）﹑栝蔞仁（3克）﹑生甘草（1.5克）",
N-117,都氣丸,熟地黃（24克）﹑山茱萸（12克）﹑山藥（12克）﹑澤瀉（9克）﹑茯苓（9克）﹑茯苓（9克）﹑五味子（9克）,
N-118,麻杏苡甘湯,麻黃（15克）﹑薏苡仁（15克）﹑杏仁（9克）﹑炙甘草（3克）,
N-119,麻黃附子細辛湯,麻黃（9克）﹑熟附子（9克）﹑細辛（9克）,
N-120,滋陰降火湯,"白芍（9克）﹑熟地黃（6克）﹑麥門冬（6克）﹑生地黃（4.5克）﹑知母（3克）﹑當歸（6克）﹑天門冬（6克）﹑
白朮（6克）﹑陳皮（4.5克）﹑黃柏（3克）﹑生薑（3克）﹑炙甘草（3克）",
N-121,華蓋散,紫蘇子（6克）﹑赤茯苓（6克）﹑桑白皮（6克）﹑陳皮（6克）﹑杏仁（6克）﹑麻黃（6克）﹑炙甘草（3克）,
N-122,黃連阿膠湯,黃連（12克）﹑黃芩（6克）﹑白芍（6克）﹑阿膠（9克）,
N-123,溫清飲,"熟地黃（3克）﹑白芍（3克）﹑當歸（3克）﹑川芎（3克）﹑黃芩（3克）﹑黃連（3克）﹑黃柏（3克）﹑山梔子
（3克）﹑生地黃（3克）",
N-124,聖愈湯,熟地黃（12克）﹑當歸（9克）﹑白芍（9克）﹑川芎（6克）﹑黃芪（9克）﹑黨參（9克）,
N-125,葛花解酲湯,"木香（1.5克）﹑化橘皮（4.5克）﹑黨參（4.5克）﹑神曲（6克）﹑澤瀉（6克）﹑乾薑（6克）﹑豬苓（4.5克）﹑茯
苓（4.5克）﹑白朮（6克）﹑青皮（9克）﹑白豆蔻（15克）﹑砂仁（15克）﹑葛花（15克）",
N-126,實脾飲,"厚樸（6克）﹑白朮（6克）﹑木瓜（6克）﹑木香（6克）﹑草果仁（6克）﹑大腹皮（6克）﹑熟附子（6克）﹑茯苓
（6克）﹑黑乾薑（6克）﹑炙甘草（3克）",
N-127,滌痰湯,"法半夏（2.15克）﹑膽南星（2.15克）﹑枳實（6克）﹑茯苓（6克）﹑化橘皮（4.5克）﹑石菖蒲（1鐖）﹑黨參（3克）
﹑竹茹（2.1克）﹑生甘草（1.5克）﹑生薑（2.15克）",
N-128,導水茯苓湯,"白朮（9克）﹑麥門冬（9克）﹑澤瀉（9克）﹑赤茯苓（9克）﹑桑白皮（3克）﹑紫蘇葉（3克）﹑檳榔（3克）﹑木
瓜（3克）﹑大腹皮（3克）﹑陳皮（3克）﹑砂仁（3克）﹑木香（3克）﹑燈芯草（1.5克）",
N-129,歸芪建中湯,桂枝（9克）﹑白芍（9克）﹑生薑（9克）﹑大棗（9克）﹑炙甘草（6克）﹑當歸（9克）﹑黃芪（9克）,
N-130,乙字湯,當歸（18克）﹑柴胡（18克）﹑黃芩（9克）﹑生甘草（9克）﹑升麻（6克）﹑大黃（3克）,
N-131,十味敗毒散,"柴胡（6克）﹑獨活（6克）﹑防風（6克）﹑櫻皮（6克）﹑桔梗（6克）﹑川芎（6克）﹑茯苓（9克）﹑荊芥（3
克）﹑生甘草（3克）﹑乾薑（3克）",
N-132,三痺湯,"黨參（3克）﹑黃芪（3克）﹑茯苓（3克）﹑生甘草（3克）﹑當歸（3克）﹑川芎（3克）﹑白芍（3克）﹑生地黃
（3克）﹑杜仲（3克）﹑淮牛膝（3克）﹑續斷（3克）﹑桂枝（3克）﹑細辛（3克）﹑秦艽（3克）﹑獨活（3克）
﹑防風（3克）﹑生薑（3克）﹑大棗（3克）",
N-133,大補元煎,"黨參（18克）﹑山藥（6克）﹑杜仲（6克）﹑熟地黃（18克）﹑當歸（9克）﹑枸杞子（9克）﹑山茱萸（3克）﹑炙
甘草（6克）",
N-134,大補陰丸,龜板（9克）﹑熟地黃（9克）﹑黃柏（6克）﹑知母（6克）,
N-135,五子衍宗丸,枸杞子（24克）﹑菟絲子（24克）﹑五味子（3克）﹑覆盆子（12克）﹑車前子（6克）,
N-136,五仁丸,桃仁（15克）﹑杏仁（15克）﹑柏子仁（9克）﹑松子仁（4.5克）﹑郁李仁（4.5克）﹑陳皮（15克）,
N-137,木香順氣丸,"木香（6克）﹑香附子（6克）﹑檳榔（6克）﹑青皮（6克）﹑陳皮（6克）﹑厚樸（6克）﹑蒼朮（6克）﹑枳殼（6
克）﹑砂仁（6克）﹑炙甘草（3克）﹑生薑（6克）",
N-138,玉泉丸,"葛根（9克）﹑天花粉（6克）﹑麥門冬（6克）﹑黨參（6克）﹑茯苓（6克）﹑烏梅（6克）﹑生甘草（6克）﹑生黃
芪（3克）﹑炙黃芪（3克）",
N-139,安中散,生甘草（12克）﹑延胡索（6克）﹑良薑（6克）﹑生薑（6克）﹑小茴香（6克）﹑肉桂（6克）﹑牡蠣（12克）,
N-140,耳聾左慈丸,"熟地黃（24克）﹑山茱萸（12克）﹑山藥（12克）﹑牡丹皮（9克）﹑澤瀉（9克）﹑茯苓（9克）﹑柴胡（3克）﹑
煅磁石（3克）",
N-141,金鎖固精丸,沙菀子（12克）﹑芡實（12克）﹑蓮鬚（12克）﹑龍骨（24克）﹑牡蠣（24克）﹑蓮子肉（9克）,
N-142,首烏延壽丹,"何首烏（18克）﹑豨簽草（9克）﹑桑椹子（9克）﹑黑芝麻（9克）﹑金櫻子（9克）﹑菟絲子（9克）﹑旱蓮草（9
克）﹑杜仲（6克）﹑淮牛膝（6克）﹑女貞子（6克）﹑桑葉（6克）﹑忍冬藤（3克）﹑生地黃（3克）",
N-143,柴胡桂枝乾薑湯,柴胡（24克）﹑桂枝（9克）﹑黃芩（9克）﹑乾薑（6克）﹑牡蠣（6克）﹑炙甘草（6克）﹑天花粉（12克）,
N-144,烏藥順氣散,"麻黃（6克）﹑陳皮（6克）﹑烏藥（6克）﹑白僵蠶（3克）﹑川芎（3克）﹑枳殼（3克）﹑生甘草（3克）﹑白芷
（3克）﹑桔梗（3克）﹑黑乾薑（1.5克）﹑生薑（3克）﹑大棗（3克）",
N-145,栝蔞薤白半夏湯,栝蔞實（24克）﹑薤白（9克）﹑法半夏（15克）,
N-146,健脾丸,"白朮（15克）﹑木香（4.5克）﹑黃連（4.5克）﹑炙甘草（4.5克）﹑茯苓（12克）﹑黨參（9克）﹑神曲（6克）﹑陳
皮（6克）﹑砂仁（6克）﹑麥芽（6克）﹑山渣（6克）﹑山藥（6克）﹑肉豆蔻（6克）",
N-147,涼膈散,"大黃（12克）﹑元明粉（6克）﹑生甘草（12克）﹑山梔子（6克）﹑薄荷葉（6克）﹑黃芩（6克）﹑連翹（3克）﹑
淡竹葉（3克）",
N-148,清暑益氣湯,"太子參（9克）﹑石斛（6克）﹑麥門冬（9克）﹑黃連（9克）﹑淡竹葉（9克）﹑荷葉（9克）﹑知母（9克）﹑生甘
草（9克）﹑梗米（9克）﹑西瓜皮（9克）",
N-149,連翹敗毒散,"連翹（9克）﹑羌活（9克）﹑獨活（9克）﹑柴胡（9克）﹑薄荷葉（9克）﹑金銀花（9克）﹑枳殼（9克）﹑桔梗
（9克）﹑川芎（9克）﹑前胡（9克）﹑生甘草（9克）﹑茯苓（9克）﹑生薑（9克）",
N-150,滋腎通耳湯,"當歸（9克）﹑川芎（9克）﹑白芍（9克）﹑生地黃（9克）﹑黃岑（9克）﹑黃柏（9克）﹑柴胡（9克）﹑白芷（9
克）﹑香附子（9克）",
N-151,越婢加朮湯,石膏（18克）﹑麻黃（18克）﹑生薑（9克）﹑生甘草（6克）﹑大棗（9克）﹑白朮（12克）,
N-152,壽胎丸,菟絲子（12克）﹑桑寄生（6克）﹑續斷（6克）﹑阿膠（6克）,
N-153,槐花散,槐花（15克）﹑側柏葉（15克）﹑枳殼（15克）﹑荊芥（15克）,
N-154,蒿岑清膽湯,"青蒿（6克）﹑竹茹（9克）﹑法半夏（4.5克）﹑赤茯苓（9克）﹑黃芩（9克）﹑陳皮（4.5克）﹑枳殼（4.5克）﹑滑
石（9克）﹑生甘草（9克）﹑青黛（9克）",
N-155,豬苓湯,豬苓（12克）﹑茯苓（12克）﹑阿膠（12克）﹑澤瀉（12克）﹑滑石（9克）,
N-156,養心湯,"黃芪（6克）﹑茯苓（6克）﹑茯神（6克）﹑當歸（6克）﹑川芎（6克）﹑法半夏（6克）﹑柏子仁（4.5克）﹑酸棗
仁（4.5克）﹑五味子（4.5克）﹑遠志（4.5克）﹑黨參（4.5克）﹑肉桂（4.5克）﹑生甘草（3克）﹑生薑（6克）﹑
大棗（3克）",
N-157,龜鹿二仙膠,鹿角膠（30克）﹑龜板（15克）﹑枸杞子（9克）﹑黨參（4.5克）,
N-158,濟川煎,當歸（12克）﹑淮牛膝（6克）﹑肉蓯蓉（9克）﹑澤瀉（4.5克）﹑升麻（3克）﹑枳殼（3克）,
N-159,縮泉丸,烏藥（9克）﹑益智仁（9克）﹑山藥（6克）,
N-160,舉元煎,黨參（5參）﹑炙黃芪（15克）﹑炙甘草（6克）﹑升麻（2.1克）﹑白朮（6克）,
N-161,還少丹,"熟地黃（9克）﹑山藥（6克）﹑淮牛膝（6克）﹑枸杞子（6克）﹑山茱萸（3克）﹑茯苓（3克）﹑杜仲（3克）﹑遠
志（3克）﹑五味子（3克）﹑枳實（3克）﹑小茴香（3克）﹑巴戟天（3克）﹑肉蓯蓉（3克）﹑石菖蒲（3克）﹑大
棗（9克）",
N-162,雙解散,"石膏（30克）﹑滑石（9克）﹑黃芩（9克）﹑桔梗（9克）﹑生甘草（6克）﹑防風（6克）﹑川芎（6克）﹑當歸（6
克）﹑白芍（6克）﹑薄荷葉（6克）﹑麻黃（6克）﹑連翹（6克）﹑荊芥（6克）﹑白朮（6克）﹑山梔子（6克）",
N-163,響聲破笛散,"連翹（6克）﹑桔梗（9克）﹑生甘草（3克）﹑大黃（6克）﹑砂仁（6克）﹑川芎（9克）﹑訶子（9克）﹑薄荷葉
（6克）﹑前胡（6克）﹑紫蘇子（6克）",
8,三子養親湯,白芥子（6克）﹑紫蘇子（9克）﹑萊菔子（9克）,
9,三仁湯,"薏苡仁（18克）﹑滑石（18克）﹑杏仁（15克）﹑法半夏（15克）﹑白豆蔻（6克）﹑通草（6克）﹑淡竹葉（6克）
﹑厚樸（6克）",
10,大承氣湯,厚樸（24克）﹑大黃（12克）﹑枳實（12克）﹑元明粉（6克）,
15,天麻鈎藤飲,"石決明（18克）﹑川牛膝（12克）﹑鈎藤（12克）﹑天麻（9克）﹑山梔子（9克）﹑黃芩（9克）﹑杜仲（9克）﹑
益母草（9克）﹑桑寄生（9克）﹑夜交藤（9克）﹑茯神（9克）",
16,木香檳榔丸,"香附子（12克）﹑生薑（9克）﹑黃柏（9克）﹑大黃（9克）﹑木香（3克）﹑檳榔（3克）﹑青皮（3克）﹑黃連（3
克）﹑陳皮（3克）﹑莪朮（3克）",
17,五皮飲,生薑皮（9克）﹑桑白皮（9克）﹑陳皮（9克）﹑大腹皮（9克）﹑茯苓皮（9克）,
26,失笑散,五靈脂（9克）﹑蒲黃（9克）,
32,白虎湯,石膏（45克）﹑知母（12克）﹑梗米（9克）﹑生甘草（6克）,
33,白頭翁湯,白頭翁（9克）﹑黃柏（9克）﹑黃連（9克）﹑秦皮（9克）,
37,半夏白朮天麻湯,"白朮（15克）﹑法半夏（9克）﹑生薑（9克）﹑大棗（9克）﹑天麻（6克）﹑陳皮（6克）﹑茯苓（6克）﹑炙甘草
（3克）",
38,百合固金湯,"百合（9克）﹑熟地黃（9克）﹑生地黃（9克）﹑當歸（9克）﹑桔梗（9克）﹑玄參（9克）﹑麥門冬（9克）﹑川貝
母（9克）﹑白芍（6克）﹑生甘草（3克）",
40,竹葉石膏湯,石膏（45克）﹑麥門冬（24克）﹑淡竹葉（9克）﹑法半夏（9克）﹑黨參（6克）﹑炙甘草（6克）﹑梗米（6克）,
51,虎潛丸,"牛骨（30克）﹑黃柏（12克）﹑龜板（9克）﹑知母（6克）﹑熟地黃（6克）﹑陳皮（6克）﹑白芍（6克）﹑淮牛膝
（6克）﹑當歸（6克）﹑鎖陽（1.15克）﹑乾薑（3克）",
54,香砂養胃湯,"白朮（1.15克）﹑香附子（3克）﹑砂仁（3克）﹑蒼朮（3克）﹑厚樸（3克）﹑陳皮（3克）﹑茯苓（3克）﹑黨參
（3克）﹑木香（3克）﹑白豆蔻（3克）﹑生甘草（3克）﹑生薑（3克）﹑大棗（3克）",
56,苓桂朮甘湯,茯苓（12克）﹑桂枝（9克）﹑白朮（9克）﹑炙甘草（6克）,
59,桑螵蛸散,"龍骨（15克）﹑龜板（15克）﹑茯神（12克）﹑桑螵蛸（9克）﹑黨參（9克）﹑當歸（9克）﹑遠志（6克）﹑石菖
蒲（6克）",
61,真武湯,茯苓（9克）﹑白芍（9克）﹑白朮（6克）﹑生薑（9克）﹑熟附子（9克）,
69,旋覆代赭湯,代赭石（24克）﹑旋覆花（9克）﹑生薑（9克）﹑法半夏（9克）﹑炙甘草（6克）﹑黨參（6克）﹑大棗（6克）,
70,理中丸,黨參（9克）﹑乾薑（9克）﹑白朮（9克）﹑炙甘草（9克）,
72,清燥救肺湯,"石膏（15克）﹑枇杷葉（9克）﹑麥門冬（9克）﹑桑葉（9克）﹑阿膠（9克）﹑胡麻仁（6克）﹑黨參（6克）﹑杏
仁（6克）﹑生甘草（3克）",
73,麻黃湯,麻黃（12克）﹑桂枝（9克）﹑杏仁（9克）﹑炙甘草（9克）,
77,溫經湯,"吳茱萸（9克）﹑麥門冬（9克）﹑阿膠（9克）﹑當歸（6克）﹑赤芍（6克）﹑川芎（6克）﹑黨參（6克）﹑桂枝
（6克）﹑牡丹皮（6克）﹑生薑（6克）﹑生甘草（6克）﹑法半夏（6克）",
79,當歸六黃湯,黃芪（12克）﹑當歸（6克）﹑生地黃（6克）﹑熟地黃（6克）﹑黃芩（6克）﹑黃柏（6克）﹑黃連（6克）,
80,當歸四逆湯,當歸（12克）﹑桂枝（9克）﹑赤芍（9克）﹑大棗（9克）﹑炙甘草（6克）﹑川木通（6克）﹑細辛（3克）,
81,痛瀉要方,白朮（6克）﹑白芍（6克）﹑防風（6克）﹑陳皮（1.15克）,
82,陽和湯,熟地（1両）﹑肉桂（3克）﹑麻黃（6克）﹑鹿角霜（9克）﹑白芥子（6克）﹑生甘草（3克）﹑黑乾薑（3克）,
85,新加香薷飲,香薷（9克）﹑扁豆花（9克）﹑金銀花（9克）﹑厚樸（6克）﹑連翹（6克）,
87,葛根芩連湯,葛根（15克）﹑炙甘草（12克）﹑黃芩（9克）﹑黃連（9克）,
88,復元活血湯,大黃（12克）﹑桃仁（9克）﹑柴胡（9克）﹑栝蔞根（9克）﹑當歸（9克）﹑紅花（6克）﹑生甘草（6克）,
89,普濟消毒飲,"黃芩（15克）﹑黃連（15克）﹑陳皮（6克）﹑生甘草（6克）﹑玄參（6克）﹑柴胡（6克）﹑桔梗（6克）﹑連翹
（3克）﹑板藍根（3克）﹑馬勃（3克）﹑牛蒡子（3克）﹑薄荷葉（3克）﹑白僵蠶（3克）﹑升麻（3克）",
94,膠艾湯,生地黃（15克）﹑白芍（12克）﹑炙甘草（9克）﹑艾葉（9克）﹑當歸（9克）﹑阿膠（6克）﹑川芎（6克）,
95,導赤散,生地黃（6克）﹑木通（6克）﹑淡竹葉（6克）﹑甘草梢（6克）,
100,瀉白散,地骨皮（15克）﹑桑白皮（15克）﹑梗米（9克）﹑炙甘草（3克）,
101,瀉黃散,石膏（30克）﹑藿香（15克）﹑山梔子（9克）﹑生甘草（9克）﹑防風（9克）,
102,蘇子降氣湯,"紫蘇子（9克）﹑法半夏（9克）﹑當歸（6克）﹑炙甘草（6克）﹑前胡（6克）﹑厚樸（6克）﹑生薑（6克）﹑大棗
（6克）﹑肉桂（3克）﹑紫蘇葉（3克）",
105,清咽利膈湯,"大黃（6克）﹑元明粉（6克）﹑連翹（3克）﹑黃芩（3克）﹑生甘草（3克）﹑桔梗（3克）﹑荊芥（3克）﹑防風
（3克）﹑山梔子（3克）﹑薄荷葉（3克）﹑金銀花（3克）﹑黃連（3克）﹑牛蒡子（3克）﹑玄參（3克）",
106,少腹逐瘀湯,"當歸（9克）﹑蒲黃（9克）﹑小茴香（9克）﹑赤芍（6克）﹑五靈脂（6克）﹑乾薑（3克）﹑延胡索（3克）﹑沒藥
（3克）﹑川芎（3克）﹑肉桂（3克）",
107,甘露消毒丹,"滑石（15克）﹑茵陳蒿（9克）﹑黃芩（9克）﹑石菖蒲（6克）﹑川貝母（6克）﹑川木通（6克）﹑白蔻仁（3克）
﹑藿香（3克）﹑射干（3克）﹑連翹（3克）﹑薄荷葉（3克）",
